Notaría,"Tipo de Uso","Total Búsquedas","Búsquedas Web","Búsquedas Escritorio","Última Búsqueda"
79oaxaca,"SOLO WEB",6386,6386,0,"2026-03-14 11:42:08"
37Oaxaca,"SOLO WEB",2729,2729,0,"2026-03-16 18:36:43"
180Puruandiro,"SOLO WEB",2513,2513,0,"2026-03-16 13:55:59"
101Guadalajara,"SOLO WEB",1807,1807,0,"2026-03-17 14:51:31"
101Oaxaca,"SOLO WEB",1754,1754,0,"2026-03-12 12:36:32"
1nacajuca,"SOLO WEB",1703,1703,0,"2026-03-05 12:52:20"
41Tampico,"SOLO WEB",1050,1050,0,"2026-03-10 14:53:46"
3huimanguillo,"SOLO WEB",825,825,0,"2026-03-10 18:10:33"
108teotitlan,"SOLO WEB",538,538,0,"2026-02-16 19:54:26"
113huatulco,"SOLO WEB",466,466,0,"2026-03-17 15:10:03"
177ixtlahuaca,"SOLO WEB",290,290,0,"2026-03-10 14:48:23"
65riobravo,"SOLO WEB",238,238,0,"2026-02-25 15:28:26"
156tuxtla,"SOLO WEB",198,198,0,"2026-02-06 09:40:19"
84arteaga,"SOLO WEB",166,166,0,"2026-03-16 12:17:20"
atinet,"SOLO WEB",84,84,0,"2026-03-17 14:08:57"
15piedrasnegras,"SOLO WEB",70,70,0,"2026-03-05 16:46:47"
4Ixmiquilpan,"SOLO WEB",43,43,0,"2026-03-09 16:51:10"
1Tampico,"SOLO WEB",18,18,0,"2024-11-22 10:51:54"
7cordoba,"SOLO WEB",5,5,0,"2024-06-12 11:12:32"
13Villahermosa,"SOLO WEB",3,3,0,"2025-01-21 10:32:27"
14villahermosa,"SOLO WEB",2,2,0,"2024-11-20 12:11:40"
36Villahermosa,"SOLO ESCRITORIO",1296,0,1296,"2026-03-11 16:55:11"
126Tuxtla,"SOLO ESCRITORIO",1253,0,1253,"2026-03-16 12:41:33"
37Puebla,"SOLO ESCRITORIO",1075,0,1075,"2026-03-17 12:39:15"
2zihuatanejo,"SOLO ESCRITORIO",580,0,580,"2026-03-09 15:40:03"
99maravatio,MIXTO,3272,1,3271,"2025-09-03 11:49:45"
30Aguascalientes,MIXTO,1492,5,1487,"2026-03-17 12:38:13"
