Notaría,"Total Búsquedas","Búsquedas Web","Búsquedas Escritorio","Primera Búsqueda","Última Búsqueda"
79oaxaca,6386,6386,0,"2024-06-27 13:48:23","2026-03-14 11:42:08"
99maravatio,3272,1,3271,"2024-06-26 15:50:12","2025-09-03 11:49:45"
37Oaxaca,2729,2729,0,"2024-12-02 11:01:00","2026-03-16 18:36:43"
180Puruandiro,2513,2513,0,"2024-07-11 15:09:13","2026-03-16 13:55:59"
101Guadalajara,1807,1807,0,"2024-07-11 16:38:07","2026-03-17 14:51:31"
101Oaxaca,1754,1754,0,"2024-12-23 12:58:04","2026-03-12 12:36:32"
1nacajuca,1703,1703,0,"2024-08-23 13:46:50","2026-03-05 12:52:20"
30Aguascalientes,1492,5,1487,"2024-06-19 14:00:20","2026-03-17 12:38:13"
36Villahermosa,1296,0,1296,"2024-07-18 16:05:28","2026-03-11 16:55:11"
126Tuxtla,1253,0,1253,"2025-02-25 18:09:04","2026-03-16 12:41:33"
37Puebla,1075,0,1075,"2025-07-22 12:25:31","2026-03-17 12:39:15"
41Tampico,1050,1050,0,"2024-07-10 16:35:30","2026-03-10 14:53:46"
3huimanguillo,825,825,0,"2025-08-14 16:21:54","2026-03-10 18:10:33"
2zihuatanejo,580,0,580,"2024-09-11 15:58:18","2026-03-09 15:40:03"
108teotitlan,538,538,0,"2024-09-25 09:24:19","2026-02-16 19:54:26"
113huatulco,466,466,0,"2025-04-16 10:26:15","2026-03-17 15:10:03"
177ixtlahuaca,290,290,0,"2025-01-21 17:37:18","2026-03-10 14:48:23"
65riobravo,238,238,0,"2024-10-07 12:44:50","2026-02-25 15:28:26"
156tuxtla,198,198,0,"2025-03-20 10:29:39","2026-02-06 09:40:19"
84arteaga,166,166,0,"2025-09-22 17:50:50","2026-03-16 12:17:20"
atinet,84,84,0,"2024-05-23 11:28:44","2026-03-17 14:08:57"
15piedrasnegras,70,70,0,"2024-12-16 17:31:52","2026-03-05 16:46:47"
4Ixmiquilpan,43,43,0,"2026-02-23 13:29:42","2026-03-09 16:51:10"
1Tampico,18,18,0,"2024-06-06 21:33:06","2024-11-22 10:51:54"
7cordoba,5,5,0,"2024-06-06 19:58:04","2024-06-12 11:12:32"
13Villahermosa,3,3,0,"2025-01-21 10:31:58","2025-01-21 10:32:27"
14villahermosa,2,2,0,"2024-11-20 12:11:23","2024-11-20 12:11:40"
